Play	開始遊戲
All graphics settings have been disabled.	已停用所有圖形效果。
Local match	單機對戰
The offline room could not be created. Please try again.	無法建立離線房間，請再試一次。
Enter a room name.	請輸入房間名稱。
Cardboard mode	Cardboard 模式
Use gamepads to play VR mode.	請使用遊戲控制器遊玩 VR 模式。
Legacy cloud unavailable	舊版雲端服務無法使用
Original service data cannot be accessed. No cloud data was loaded.	無法存取原有服務的資料，未載入任何雲端資料。
Use Export save / Import old save files, or LAN Sync between desktop devices.	請使用「匯出存檔／匯入舊存檔」，或在桌面裝置之間使用區域網路同步。
Not available	無法使用
Sorry, currently not available.	抱歉，目前無法使用。
Not available from TV	電視裝置無法使用
Sorry, currently this option is unavalable.	抱歉，目前無法使用此選項。
This option is unavailable.	此選項無法使用
Sorry, currently this option is not supported in VR mode.	抱歉，VR 模式目前不支援此選項。
Return to the main menu	返回主選單
End your game or matchmaking before syncing saved scores.	請先結束遊戲或配對，再同步已儲存的分數。
LAN Sync in this browser	瀏覽器中的區域網路同步
Browsers cannot use UDP LAN sync. Use Export save on the source device, then Import old save here. These controls are below LAN Sync.	瀏覽器無法使用 UDP 區域網路同步。請在來源裝置匯出存檔，再於此處匯入舊存檔。這些功能位於區域網路同步下方。
LAN Sync unavailable	區域網路同步無法使用
The LAN component is missing. Use Export save / Import old save instead.	缺少區域網路元件，請改用「匯出存檔／匯入舊存檔」。
LAN Sync failed	區域網路同步失敗
Review received scores	確認收到的分數
LAN sender ID: {0}	區域網路傳送者 ID：{0}
Kills / deaths: {0} / {1}	擊殺／死亡：{0}／{1}
Survival / assortment / headshot: {0} / {1} / {2}	生存／綜合／爆頭：{0}／{1}／{2}
Replace only your ID and these five scores, then reload? Confirm only a sender you recognize.	要僅取代你的 ID 與這五項分數，然後重新載入嗎？請只確認你認得的傳送者。
Replace scores	取代分數
Broadcasting LAN scores	正在廣播區域網路分數
Sending ID: {0}	傳送中的 ID：{0}
Open LAN Sync on the receiving device now. Delivery is not confirmed here.	請在接收裝置開啟區域網路同步。此處無法確認資料是否已送達。
Broadcast stops after 60 seconds, or when you close this dialog.	廣播會在 60 秒後或關閉此視窗時停止。
LAN broadcast ended	區域網路廣播已結束
Received scores are no longer valid. Your scores were not changed.	收到的分數已失效，你的分數未變更。
Could not confirm save	無法確認存檔
Current-session scores were restored. Check the storage error before retrying or restarting.	已還原本次遊戲的分數。請先確認儲存錯誤，再重試或重新啟動。
Multiplayer Ready	多人遊戲已就緒
If you are playing singleplayer, current score will be saved.	若你正在遊玩單人模式，目前的分數將會儲存。
Match could not start	無法開始對戰
Not all players completed synchronization within 60 seconds. The room connection was closed. Return to the main menu, then host or join again.	部分玩家未在 60 秒內完成同步，房間連線已關閉。請返回主選單，再重新建立或加入房間。
Scores are local only	分數僅儲存在本機
No scores were uploaded. The original cloud service is unavailable. This leaderboard shows scores stored on this device. Use save files or LAN Sync to transfer scores.	未上傳任何分數。原有雲端服務無法使用，此排行榜顯示此裝置儲存的分數。請使用存檔或區域網路同步來移轉分數。
Image size error	圖片尺寸錯誤
Image scale must be larger than 128x128.	圖片尺寸必須大於 128×128。
Leave the current room before changing region.	請先離開目前的房間，再切換伺服器區域。
Multiplayer request timed out	多人遊戲請求逾時
The server did not complete the room request within 25 seconds. Please retry.	伺服器未在 25 秒內完成房間請求，請再試一次。
Local modules need attention	本機模組需要處理
Multiplayer connection	多人遊戲連線
The local module service is unavailable. Return to the main menu and restart FLATS after restoring module storage.	本機模組服務無法使用。請返回主選單，修復模組儲存空間後再重新啟動 FLATS。
Local modules could not start. {0}	本機模組無法啟動。{0}
Open MOD from the main menu to inspect storage recovery and retry. Multiplayer has not started.	請從主選單開啟模組中心，檢查儲存空間復原狀態後重試。多人遊戲尚未開始。
Local module initialization did not finish within 15 seconds. Return to the main menu and check MOD, then retry multiplayer. No room was joined.	本機模組未在 15 秒內完成初始化。請返回主選單檢查模組中心，再重試多人遊戲。目前未加入任何房間。
Photon connection timed out after 20 seconds. Please retry.	Photon 連線等待 20 秒後逾時，請再試一次。
Photon connection lost: {0}	Photon 連線中斷：{0}

Kill:{0} Death:{1} Time:{2}	擊殺：{0} 死亡：{1} 時間：{2}
Time:{0}	時間：{0}
Red:{0} Blue:{1} Time:{2}	紅隊：{0} 藍隊：{1} 時間：{2}
Choosing the Mother Zombie...	正在選出母體殭屍…
Winners: Survivors	勝利：倖存者
Winners: Zombies	勝利：殭屍
Winner:Survivors	勝利：倖存者
You are offense side. Set the bomb on the enemies' base.	你是進攻方。請在敵方基地安裝炸彈。
You are defense side. Defend your base.	你是防守方。請守住我方基地。
Red Team	紅隊
Blue Team	藍隊
Game Over	遊戲結束
Player Count: {0}	玩家人數：{0}
Searching for a room...	正在尋找房間…
Matchmaking... Wait or press Start Now.	配對中…請稍候，或按「立即開始」。
Syncing... up to a minute.	同步中…最多約一分鐘。
Player synchronization timed out.	玩家同步逾時。
Adjusting team members...	正在調整隊伍成員…
Score: {0}	分數：{0}
Died at Phase {0}	在第 {0} 階段陣亡
Max Headshot Chain: {0}	最高連續爆頭：{0}
Highscore!!	最高分！！
Your level is...	你的等級是…
Beginner	新手
Good Shooter	好槍手
Survivor	倖存者
Tough Guy	硬漢
Gun Devil	槍魔
Ninja	忍者
Crazy Killer	瘋狂殺手
FPS Zombie	FPS 殭屍
Fribbler	閒晃者
Day Dreamer	白日夢想家
Store purchases unavailable	無法使用商店購買
Goodbye Ads!	再見了，廣告！
Thank you!	謝謝你！
Beer for Developer	請開發者喝啤酒
Upload (unavailable)	上傳（無法使用）
Import failed	匯入失敗
Export failed	匯出失敗
Save exported	存檔已匯出
Your save was written to:	你的存檔已寫入：
Save files: Export on source; Import old save here.	存檔：在來源裝置匯出，在這裡匯入舊存檔。
Preview before replacing the current save.	取代目前存檔前會先預覽。
LAN Sync (native builds, same network):	區域網路同步（原生版本、同一網路）：
Open source first, then receiver; confirm scores.	先開啟來源裝置，再開啟接收裝置，並確認分數。
Only ID + scores transfer, not gameplay.	只會傳送 ID 和分數，不含遊戲內容。
Browsers cannot use UDP LAN Sync.	瀏覽器無法使用 UDP 區域網路同步。
Use save files to transfer your progress.	請使用存檔轉移你的進度。
Legacy cloud restoration is unavailable.	無法還原舊版雲端資料。
The ID/Receive entry cannot recover old cloud data.	ID／接收功能無法找回舊的雲端資料。
Cloud unavailable	雲端服務無法使用
Legacy ID (unavailable)	舊版 ID（無法使用）
Play together online using a room code or LAN discovery.	使用房間代碼或區域網路探索，一起在線上遊玩。
Internet required; players must use the same region and version.	需要網際網路；玩家必須使用相同的區域與版本。
Host rules: Deathmatch · 3 kills · 2 players.	主機規則：死亡競賽 · 3 擊殺 · 2 名玩家。
Discovered room	已發現的房間
No room selected.	尚未選擇房間。
No rooms found on this network.	在此網路上找不到房間。
Refresh LAN or enter the host’s room code.	請重新整理區域網路，或輸入主機的房間代碼。
Region: {0} / online {1}	區域：{0} / 線上版本 {1}
Select a room below, or enter the host's code. Discovery expires after 30 seconds.	從下方選擇房間，或輸入主機的房間代碼。探索結果會在 30 秒後失效。
Connecting to {0}... Back cancels.	正在連線到 {0}…按返回可取消。
Join {0} / {1}	加入 {0} / {1}
Room request timed out. Retry or check the host's code.	房間請求逾時，請重試或確認主機的房間代碼。
+ New profile	＋ 新增設定組合
Clear filters	清除篩選
Close filters	關閉篩選
Compatible	相容
Light	淺色
Dark	深色
Ring	圓環
Find package	尋找套件
Paste manifest.json	貼上 manifest.json
Review package	檢視套件
View details	查看詳情
Your screen only	僅影響自己的畫面
Multiplayer mod	多人模組
Multiplayer session mod	多人對局模組
Version {0}	版本 {0}
At a glance	概覽
By {0}	作者：{0}
Not installed	未安裝
Available version: {0}	可用版本：{0}
Installed: None	已安裝：無
Installed: {0}	已安裝：{0}
Changes	更新內容
No changelog provided.	未提供更新紀錄。
Compatible with this FLATS build	相容於此 FLATS 版本
Required dependencies	必要的相依模組
Dependencies are installed individually after your review.	相依模組會在你確認後逐一安裝。
Required: >= {0} < {1}	需要：>= {0} < {1}
No description provided.	未提供說明。
Affects your screen only.	只影響你的畫面。
This mod participates in multiplayer session requirements.	此模組會納入多人對局的模組需求。
This package runs code with FLATS privileges.	此套件會以 FLATS 的權限執行程式碼。
Changes the local crosshair appearance.	變更本機的準心外觀。
Not installed. Installation does not enable a new mod.	尚未安裝。安裝後不會自動啟用新模組。
Client-only  /  Enabled in selected profile / Not active now	僅限本機  /  已在所選設定組合中啟用 / 目前未執行
Client-only  /  Disabled in selected profile / Active now	僅限本機  /  已在所選設定組合中停用 / 目前執行中
Restart required	需要重新啟動
Needs attention / Restart required	需要處理 / 需要重新啟動
Update available / Restart required	有可用更新 / 需要重新啟動
Update available / Needs attention / Restart required	有可用更新 / 需要處理 / 需要重新啟動
Disable on restart	重新啟動後停用
Needs attention / Disable on restart	需要處理 / 重新啟動後停用
Update available / Disable on restart	有可用更新 / 重新啟動後停用
Update available / Needs attention / Disable on restart	有可用更新 / 需要處理 / 重新啟動後停用
Needs attention / Disabled	需要處理 / 已停用
Update available / Disabled	有可用更新 / 已停用
Update available / Needs attention / Disabled	有可用更新 / 需要處理 / 已停用
Active now	目前執行中
Needs attention / Active now	需要處理 / 目前執行中
Update available / Active now	有可用更新 / 目前執行中
Update available / Needs attention / Active now	有可用更新 / 需要處理 / 目前執行中
Enabled / not active	已啟用／尚未執行
Needs attention / Enabled / not active	需要處理 / 已啟用／尚未執行
Update available / Enabled / not active	有可用更新 / 已啟用／尚未執行
Update available / Needs attention / Enabled / not active	有可用更新 / 需要處理 / 已啟用／尚未執行
Requires desktop FLATS	需要桌面版 FLATS
Update available	有可用更新
Desktop required	需要桌面版
Paused at {0} / {1} KB. Continue to resume. If the service cannot resume safely, the download starts again.	已暫停於 {0} / {1} KB。按「繼續」可恢復下載；若服務無法安全續傳，將重新開始下載。
Source: {0} / {1} results	來源：{0} / {1} 個結果
Import {0} v{1}?	要匯入 {0} v{1} 嗎？
{0} KB · Local package	{0} KB · 本機套件
ClientOnly	僅影響自己
RequiredForSession	多人對局必需
Installation does not enable a new mod. Restart is required to load it. Packages may run code.	安裝後不會自動啟用新模組，需要重新啟動才會載入。套件可能會執行程式碼。
Select {0}?	要選擇 {0} 嗎？
{0} enabled mods. Dependencies and conflicts will be checked.	已啟用 {0} 個模組，將檢查相依與衝突。
Restart FLATS to run this configuration. Installed packages are shared.	重新啟動 FLATS 以執行此設定組合。已安裝的套件會共用。
Delete {0}?	要刪除 {0} 嗎？
Only this saved configuration is removed. Shared packages remain installed.	只會移除這個已儲存的設定組合，共用的套件仍會保留。
Selected: {0}. Restart required; the running configuration is unchanged.	已選擇：{0}。需要重新啟動；目前執行中的設定不變。
Selected: {0}. Profile edits are saved locally; packages are shared.	已選擇：{0}。設定組合的修改會儲存在本機；套件為共用。
Installed {0}	已安裝 {0}
Profile could not be loaded. No defaults were written.	無法載入個人檔案。未寫入任何預設值。
Profile saved. Legacy preference copy could not be updated; it will be retried.	個人檔案已儲存。舊版偏好設定副本無法更新，稍後會再試一次。
Save could not be confirmed. Existing recovery records were retained.	無法確認存檔是否完成。已保留現有的復原紀錄。
Profile saved, but recovery-copy maintenance reported a problem.	個人檔案已儲存，但維護復原副本時發生問題。
Imported profile is active for this session, but browser persistence was not confirmed. Export a backup and retry saving from the browser storage notice.	匯入的個人檔案已在本次遊戲中生效，但無法確認瀏覽器是否已保存。請先匯出備份，再從瀏覽器儲存提示重試儲存。
The legacy resetData flag is enabled. Automatic data deletion was blocked.	舊版 resetData 旗標已啟用。已阻止自動刪除資料。
Quit without overwriting data	不覆寫資料並離開
Recovered previous committed generation. Damaged records retained: {0}	已從上一個已提交的版本復原。已保留損壞的紀錄：{0}
Recovered base record. Damaged generations retained: {0}	已從基礎紀錄復原。已保留損壞的版本：{0}
Recovered the last valid backup. Original retained at: {0}	已從最後一份有效備份復原。原始檔案保留於：{0}
Also imports {0} personal settings (language, controls, crosshair).	另外會匯入 {0} 項個人設定（語言、按鍵、準心）。
official.* mods can only be installed from the official source	official.* 模組只能從官方來源安裝
Set in Mod center	在模組中心設定
Everyone in the room needs the same version.	同一房間的每位玩家都需要安裝相同版本。

Size	大小
Thickness	粗細
Gap	間距
Opacity	透明度
Outline	外框
Outline color	外框顏色
Cross Dot	十字加點
T	T 字
Classic	經典
Precision Dot	精準點
Wide Ring	寬圓環
Save your Crosshair changes?	要儲存準心的變更嗎？
The draft has not been applied. Saving keeps the mod's enabled state.	草稿尚未套用。儲存後會保留此模組的啟用狀態。
Hold to aim	按住以瞄準
Press to toggle	按一下切換
Toggle	切換
Aim Mode	瞄準方式
Language	語言
{0} enabled mods are not installed and will be skipped.	有 {0} 個已啟用的模組未安裝，將略過。
Current game build	目前的遊戲版本
Profile selected. Restart FLATS to apply its mods and settings.	已選擇設定組合。重新啟動 FLATS 後套用其中的模組與設定。
Running profile selected.	已選擇目前執行中的設定組合。
Saved	已儲存
Saved to selected profile. Restart required.	已儲存到選擇的設定組合，需要重新啟動。
All planned versions are already installed.	計畫中的版本都已安裝。
Check storage access and restore compatible settings from a retained backup if needed. No module changes are available until recovery.	請檢查儲存空間的存取權限，必要時從保留的備份還原相容的設定。復原前無法變更模組。
Enabled the complete dependency set in this profile. Restart FLATS to apply.	已在此設定組合中啟用整組相依模組。重新啟動 FLATS 後套用。
Online source removed.	已移除線上來源。
Removed from next launch. Any running version remains active until FLATS restarts.	下次啟動時移除。執行中的版本會持續作用，直到 FLATS 重新啟動。
Requirements added to Downloads. When complete, review Enable again.	已將相依模組加入下載。完成後請再次檢查並啟用。
Saved. Restart FLATS to apply external module changes.	已儲存。重新啟動 FLATS 後套用外部模組的變更。
Source saved.	已儲存來源。
Update check complete: {0} installed mods found at this source.	更新檢查完成：在此來源找到 {0} 個已安裝的模組。
Style: {0} → {1}	樣式：{0} → {1}
Size: {0} → {1} HUD units	大小：{0} → {1} HUD 單位
Uninstall this mod?	要解除安裝這個模組嗎？
The package will be removed. Its personal settings are retained. Any running version stays active until restart. Use Disable to keep the package.	套件會被移除，個人設定會保留。執行中的版本在重新啟動前仍會作用。若要保留套件，請改用「停用」。
Conflicts: none in this plan.	衝突：此計畫沒有衝突。
Data module. Restart to apply changes.	資料模組。重新啟動後套用變更。
Managed code runs with FLATS privileges. Restart to apply changes.	程式碼模組會以 FLATS 的權限執行。重新啟動後套用變更。
Needs attention / {0}	需要處理 / {0}
Source: {0}	來源：{0}
Total download: {0} KB	下載總量：{0} KB
Install {0} and requirements?	要安裝 {0} 及其相依模組嗎？
Enable {0} and requirements?	要啟用 {0} 及其相依模組嗎？
{0}  {1} - download	{0}  {1} - 需下載
{0}  {1} - installed	{0}  {1} - 已安裝
Packages install together. New mods stay disabled; review Enable after downloading.	套件會一起安裝。新模組預設為停用，下載後請檢查並啟用。
The complete dependency set will be enabled in this profile.	整組相依模組會在此設定組合中啟用。
Restart FLATS to apply.	重新啟動 FLATS 後套用。
Profiles unavailable	無法使用設定組合
Restore Crosshair defaults?	要還原準心的預設值嗎？
This changes only this mod's draft. Save changes to apply it. Other mods and game settings are not affected.	這只會變更此模組的草稿，儲存後才會套用，不影響其他模組與遊戲設定。
T shape	T 字形
Changes enemy health, damage and speed for everyone in the room.	變更房間內所有人的敵人生命、傷害與速度。
Data package for the game feature {0}. It contains no code.	遊戲功能 {0} 的資料套件，不含程式碼。
Source: {0} / {1} results (updating)	來源：{0} / {1} 個結果（更新中）
Showing saved results. Check your connection, then retry.	目前顯示已儲存的結果。請檢查網路連線後再試一次。
Aim Sensitivity	開鏡靈敏度
Match camera	與視角相同
Very Low	非常低
Low+	偏低
Normal+	偏高
Pick up	拾取
Swap	交換
Drop	放下
Tap Swap to exchange	點擊「交換」更換武器
Enabled and applied.	已啟用並立即套用。
Disabled and applied.	已停用並立即套用。
Applies immediately.	立即套用。
Crosshair module. Enabling and disabling apply immediately unless another crosshair is active.	準星模組。沒有其他準星啟用時，啟用與停用會立即套用。
Pick the sniper rifle on the floor.\nTap Swap to pick it up.	拾取地上的狙擊步槍。\n點擊「交換」即可拾取。
Kill Cinematic	擊殺特寫
Slow-motion camera on headshots and mortal shots. OFF shows only the text.	爆頭與致命一擊的慢動作鏡頭。關閉後只顯示文字。
Swapped with: 	已與此動作交換：
Binding not saved.	按鍵未儲存。
Default controller settings restored.	已還原手把預設設定。
LB / RB: next section. Select an option to change it.	LB / RB：切換區段。選擇選項即可變更。
Button layout	按鍵配置
Layout preset	配置預設
Custom	自訂
Tactical	戰術
Bumper Jumper	肩鍵跳躍
Look & sticks	視角與搖桿
Horizontal look speed	水平視角速度
Vertical look speed	垂直視角速度
Response curve	反應曲線
Linear	線性
Standard	標準
Dynamic	動態
Look stick deadzone	視角搖桿死區
Move stick deadzone	移動搖桿死區
Auto	自動
Feedback	回饋
Vibration	震動
Right stick: look	右搖桿：視角
Left stick: move	左搖桿：移動
Tap to jump. Hold while moving forward to sprint.	點一下跳躍。向前移動時按住可衝刺。
Hold to run faster.	按住以加速奔跑。
Shoot. Hold for automatic weapons.	射擊。自動武器請按住。
Hold to aim down sights.	按住以開鏡瞄準。
Reload the current weapon.	為目前的武器換彈。
Tap to switch weapons. Hold to pick up or exchange a weapon on the floor.	點一下切換武器。按住可拾取或交換地上的武器。
Throw a grenade.	投擲手榴彈。
Aim down sights without holding a trigger.	不需按住板機即可開鏡瞄準。
Default: grenade on the right bumper, as in most console shooters. Tactical: grenade on B / Circle. Bumper Jumper: jump on the left bumper, so you can jump without leaving the look stick. Changing any button makes the layout Custom.	預設：手榴彈在右肩鍵，與多數主機射擊遊戲相同。戰術：手榴彈在 B／圓圈鍵。肩鍵跳躍：跳躍改到左肩鍵，不必離開視角搖桿就能跳。變更任何按鍵後會變成「自訂」。
How fast the right stick turns left and right. At 1x and Normal sensitivity a full push turns 180 degrees per second, and faster while held all the way.	右搖桿左右轉動的速度。1x、一般靈敏度時推到底每秒轉 180 度，持續推到底會再加快。
How fast the right stick looks up and down. At 1x and Normal sensitivity a full push turns 135 degrees per second.	右搖桿上下轉動的速度。1x、一般靈敏度時推到底每秒轉 135 度。
Standard (default): slower near the centre for fine aim. Linear: the view follows the stick directly. Dynamic: quick start, steady middle, fast at the edge.	標準（預設）：靠近中心較慢，方便微調瞄準。線性：視角直接跟隨搖桿。動態：起步快、中段穩、推到底時轉得快。
Stick movement inside the circle is ignored. Raise it if the view drifts by itself. Auto uses the controller's own setting.	圓圈內的搖桿移動會被忽略。視角會自己飄移時請調高。「自動」使用手把本身的設定。
Stick movement inside the circle is ignored. Raise it if you walk without touching the stick. Auto uses the controller's own setting.	圓圈內的搖桿移動會被忽略。沒碰搖桿卻會走動時請調高。「自動」使用手把本身的設定。
Strength of controller vibration when firing. OFF turns it off.	射擊時手把震動的強度。「關閉」即不震動。
